# Kelvin	Celsius	Fahrenheit	Rankine
0.00	-273.15	-459.67	0.00
9.12	-264.03	-443.25	16.42
18.24	-254.91	-426.83	32.84
27.36	-245.79	-410.41	49.26
36.49	-236.66	-393.99	65.68
45.61	-227.54	-377.58	82.09
54.73	-218.42	-361.16	98.51
63.85	-209.30	-344.74	114.93
72.97	-200.18	-328.32	131.35
82.09	-191.06	-311.90	147.77
91.22	-181.93	-295.48	164.19
100.34	-172.81	-279.06	180.61
109.46	-163.69	-262.64	197.03
118.58	-154.57	-246.22	213.45
127.70	-145.45	-229.81	229.86
136.82	-136.33	-213.39	246.28
145.95	-127.20	-196.97	262.70
155.07	-118.08	-180.55	279.12
164.19	-108.96	-164.13	295.54
173.31	-99.84	-147.71	311.96
182.43	-90.72	-131.29	328.38
191.55	-81.60	-114.87	344.80
200.68	-72.47	-98.45	361.22
209.80	-63.35	-82.03	377.64
218.92	-54.23	-65.62	394.05
228.04	-45.11	-49.20	410.47
237.16	-35.99	-32.78	426.89
246.28	-26.87	-16.36	443.31
255.41	-17.74	0.06	459.73
264.53	-8.62	16.48	476.15
273.65	0.50	32.90	492.57
282.77	9.62	49.32	508.99
291.89	18.74	65.74	525.41
301.01	27.86	82.15	541.82
310.14	36.99	98.57	558.24
319.26	46.11	114.99	574.66
328.38	55.23	131.41	591.08
337.50	64.35	147.83	607.50
346.62	73.47	164.25	623.92
355.74	82.59	180.67	640.34
364.86	91.71	197.09	656.76
373.99	100.84	213.51	673.18
383.11	109.96	229.92	689.59
392.23	119.08	246.34	706.01
401.35	128.20	262.76	722.43
410.47	137.32	279.18	738.85
419.59	146.44	295.60	755.27
428.72	155.57	312.02	771.69
437.84	164.69	328.44	788.11
446.96	173.81	344.86	804.53
456.08	182.93	361.28	820.95
465.20	192.05	377.69	837.36
474.32	201.17	394.11	853.78
483.45	210.30	410.53	870.20
492.57	219.42	426.95	886.62
501.69	228.54	443.37	903.04
510.81	237.66	459.79	919.46
519.93	246.78	476.21	935.88
529.05	255.90	492.63	952.30
538.18	265.03	509.05	968.72
547.30	274.15	525.47	985.14
556.42	283.27	541.88	1001.55
565.54	292.39	558.30	1017.97
574.66	301.51	574.72	1034.39
583.78	310.63	591.14	1050.81
592.91	319.76	607.56	1067.23
602.03	328.88	623.98	1083.65
611.15	338.00	640.40	1100.07
620.27	347.12	656.82	1116.49
629.39	356.24	673.24	1132.91
638.51	365.36	689.65	1149.32
647.64	374.49	706.07	1165.74
656.76	383.61	722.49	1182.16
665.88	392.73	738.91	1198.58
675.00	401.85	755.33	1215.00
